Date,CHHATTISGARH_Schedule,CHHATTISGARH_Drawal,CHHATTISGARH_Deviation,GUJARAT_Schedule,GUJARAT_Drawal,GUJARAT_Deviation,MADHYAPRADESH_Schedule,MADHYAPRADESH_Drawal,MADHYAPRADESH_Deviation,MAHARASHTRA_Schedule,MAHARASHTRA_Drawal,MAHARASHTRA_Deviation,GOA_Schedule,GOA_Drawal,GOA_Deviation,DD_Schedule,DD_Drawal,DD_Deviation,DNH_Schedule,DNH_Drawal,DNH_Deviation,AMNSIL_Schedule,AMNSIL_Drawal,AMNSIL_Deviation,BARC_Schedule,BARC_Drawal,BARC_Deviation,Block,Frequency_hz
01-May-21,1404.35,1451.19,46.84,5333.49,5562.45,228.96,5647.11,5611.98,-35.12,6384.65,6346.45,-38.20,386.47,385.28,-1.19,192.25,177.61,-14.64,632.67,614.21,-18.46,49.24,-18.24,-67.48,8.86,4.02,-4.84,42.00,49.98
01-May-21,1342.31,1489.28,146.97,5342.09,5375.01,32.92,5549.91,5573.76,23.86,6440.51,6534.92,94.41,384.14,386.50,2.36,173.57,176.80,3.22,613.50,613.86,0.36,49.24,-81.28,-130.52,8.86,4.02,-4.84,43.00,50.01
01-May-21,1344.15,1418.81,74.66,5255.61,5164.38,-91.23,5501.59,5527.14,25.55,6463.08,6574.42,111.34,386.12,388.66,2.54,173.57,174.27,0.70,613.48,612.71,-0.77,49.24,31.04,-18.20,8.86,4.02,-4.84,44.00,49.99
01-May-21,1554.60,1518.39,-36.21,5185.81,5064.84,-120.97,5258.28,5481.29,223.01,6490.39,6686.41,196.02,385.72,387.02,1.30,173.58,177.98,4.41,589.37,618.57,29.20,49.24,13.28,-35.96,8.87,4.06,-4.81,45.00,50.00
01-May-21,1545.74,1529.47,-16.26,5041.30,5018.18,-23.12,5261.82,5429.28,167.46,6490.36,6734.65,244.28,386.48,393.63,7.15,173.56,177.60,4.04,613.48,622.92,9.44,49.24,25.60,-23.64,8.87,4.02,-4.85,46.00,49.99
01-May-21,1534.01,1533.50,-0.51,5032.57,4933.89,-98.68,5201.92,5288.75,86.83,6503.90,6765.72,261.82,394.52,395.56,1.04,173.55,176.23,2.68,613.50,624.36,10.86,49.24,78.40,29.16,8.88,4.03,-4.85,47.00,49.99
01-May-21,1524.07,1502.01,-22.06,5018.52,5126.34,107.82,5060.07,5323.92,263.84,6498.74,6536.63,37.89,398.24,397.76,-0.48,187.48,179.94,-7.54,621.18,621.99,0.81,49.24,33.76,-15.48,8.86,4.00,-4.86,48.00,50.00
01-May-21,1525.32,1512.81,-12.51,5179.66,5204.58,24.92,5152.29,5140.19,-12.10,6553.38,6560.00,6.62,412.48,399.88,-12.61,173.54,177.98,4.44,608.64,621.70,13.06,49.24,-32.00,-81.24,8.87,4.00,-4.87,49.00,50.01
01-May-21,1521.92,1446.51,-75.41,5064.72,5141.41,76.69,5396.02,5169.25,-226.78,6583.41,6691.05,107.64,403.76,401.63,-2.13,169.69,173.07,3.38,608.68,614.18,5.50,49.24,174.56,125.32,8.88,4.00,-4.88,50.00,49.90
01-May-21,1416.09,1489.22,73.13,5065.12,5232.70,167.58,5254.68,5203.34,-51.34,6627.64,6595.12,-32.52,398.28,402.50,4.22,169.68,173.56,3.88,589.32,609.38,20.06,49.24,-39.20,-88.44,8.87,3.98,-4.89,51.00,49.91
